,ID,CIK,Company Name,Date Filed,Filename,Form Type,URL,CDS Text,Underlying,Counter Party,Exact Underlying,CDS Transaction
43,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .565% and pay Morgan Stanley, Inc. upon default event of Walt Disney Co., par value of the notional amount of Walt Disney Co. 6.375%",Walt Disney,"Morgan Stanley,",Walt Disney 6.375%,
44,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp.",Devon Energy,Goldman Sachs,,
45,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .41% and pay Merrill Lynch, Inc. upon default event of Talisman Energy, Inc., par value of the notional amount of Talisman Energy, Inc. 7.25%","Talisman Energy,","Merrill Lynch,","Talisman Energy, 7.25%",
46,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
47,66,354046,FIDELITY CHARLES STREET TRUST,2004-05-28,edgar/data/354046/0000354046-04-000004.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/354046/0000354046-04-000004.txt,"Receive quarterly notional amount multiplied by 1.38% and pay Merrill Lynch, Inc. upon default event of Bombardier, Inc., par value of the notional amount of Bombardier, Inc. 6.75%","Bombardier, Inc.,","Merrill Lynch,","Bombardier, Inc., 6.75%",
48,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
49,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .59% and pay Merrill Lynch, Inc. upon default event of Raytheon Co., par value of the notional amount of Raytheon Co. 6.55%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 6.55%",
50,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
51,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .59% and pay Merrill Lynch, Inc. upon default event of Raytheon Co., par value of the notional amount of Raytheon Co. 6.55%","Raytheon Co.,","Merrill Lynch,","Raytheon Co., 6.55%",
52,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
53,69,795422,FIDELITY ADVISOR SERIES II,2004-06-29,edgar/data/795422/0000795422-04-000050.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/795422/0000795422-04-000050.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
54,71,803013,FIDELITY GARRISON STREET TRUST,2004-06-04,edgar/data/803013/0000803013-04-000014.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/803013/0000803013-04-000014.txt,"Receive quarterly notional amount multilpied by .23% and pay Goldman Sachs upon default event of Consolidated Natural Gas Co., par value of the notional amount of Consolidated Natural Gas Co.",Consolidated Natural,Goldman Sachs,,
55,72,819118,FIDELITY CONCORD STREET TRUST,2004-04-27,edgar/data/819118/0000819118-04-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/819118/0000819118-04-000003.txt,"Receive quarterly notional amount multiplied by .44% and pay JPMorgan Chase, Inc. upon default event of Lockheed Martin Corp., par value of the notional amount of Lockheed Martin Corp. 8.2%",Lockheed Martin,"JPMorgan Chase,",Lockheed Martin 8.2%,
56,81,1035018,STRATEGIC PARTNERS MUTUAL FUNDS,2004-09-29,edgar/data/1035018/0001193125-04-163833.txt,N-Q,https://www.sec.gov/Archives/edgar/data/1035018/0001193125-04-163833.txt,Receive a fixed rate equal to 0.625% and the Portfolio will pay to the counterparty at par in the event of default of United Mexican States 11.50% due 05/15/26. (cost $0; purchased,United Mexican,the counterparty,,
57,81,1035018,STRATEGIC PARTNERS MUTUAL FUNDS,2004-09-29,edgar/data/1035018/0001193125-04-163833.txt,N-Q,https://www.sec.gov/Archives/edgar/data/1035018/0001193125-04-163833.txt,Receive a fixed rate equal to 0.65% and the Portfolio will pay to the counterparty at par in the event of default of United Mexican States 7.50% due 04/08/33. (cost $0; purchased,United Mexican,the counterparty,,
58,81,1035018,STRATEGIC PARTNERS MUTUAL FUNDS,2004-09-29,edgar/data/1035018/0001193125-04-163833.txt,N-Q,https://www.sec.gov/Archives/edgar/data/1035018/0001193125-04-163833.txt,Receive a fixed rate equal to 1.80% and the Portfolio will pay to the counterparty at par in the event of default of Republic of Panama 9.375% due 04/01/29. (cost $0; purchased,Republic of,the counterparty,,
59,81,1035018,STRATEGIC PARTNERS MUTUAL FUNDS,2004-09-29,edgar/data/1035018/0001193125-04-163833.txt,N-Q,https://www.sec.gov/Archives/edgar/data/1035018/0001193125-04-163833.txt,Receive a fixed rate equal to 1.10% and the Portfolio will pay to the counterparty at par in the event of default of Republic of Panama 9.375% due 04/01/29. (cost $0; purchased,Republic of,the counterparty,,
60,90,356494,VARIABLE INSURANCE PRODUCTS FUND,2004-09-01,edgar/data/356494/0000927384-04-000026.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000927384-04-000026.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana","EnCana Corp.,","Merrill Lynch,",,
61,90,356494,VARIABLE INSURANCE PRODUCTS FUND,2004-09-01,edgar/data/356494/0000927384-04-000026.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000927384-04-000026.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
62,90,356494,VARIABLE INSURANCE PRODUCTS FUND,2004-09-01,edgar/data/356494/0000927384-04-000026.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000927384-04-000026.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
63,90,356494,VARIABLE INSURANCE PRODUCTS FUND,2004-09-01,edgar/data/356494/0000927384-04-000026.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/356494/0000927384-04-000026.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
64,92,722574,FIDELITY ADVISOR SERIES I,2004-08-03,edgar/data/722574/0000880709-04-000032.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/722574/0000880709-04-000032.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
65,92,722574,FIDELITY ADVISOR SERIES I,2004-08-03,edgar/data/722574/0000880709-04-000032.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/722574/0000880709-04-000032.txt,"Receive quarterly notional amount multiplied by 1.38% and pay Merrill Lynch, Inc. upon default event of Bombardier, Inc., par value of the notional amount of Bombardier, Inc. 6.75%","Bombardier, Inc.,","Merrill Lynch,","Bombardier, Inc., 6.75%",
66,92,722574,FIDELITY ADVISOR SERIES I,2004-08-03,edgar/data/722574/0000880709-04-000032.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/722574/0000880709-04-000032.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
67,92,722574,FIDELITY ADVISOR SERIES I,2004-08-03,edgar/data/722574/0000880709-04-000032.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/722574/0000880709-04-000032.txt,"Receive quarterly notional amount multiplied by 1.38% and pay Merrill Lynch, Inc. upon default event of Bombardier, Inc., par value of the notional amount of Bombardier, Inc. 6.75%","Bombardier, Inc.,","Merrill Lynch,","Bombardier, Inc., 6.75%",
68,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive quarterly notional amount multilpied by .43% and pay Bank of America upon default event of Apache Corp., par value of the notional amount of Apache Corp. 6.25%","Apache Corp.,",Bank of America,"Apache Corp., 6.25%",
69,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive quarterly notional amount multilpied by .43% and pay Bank of America upon default event of Apache Corp., par value of the notional amount of Apache Corp. 6.25%","Apache Corp.,",Bank of America,"Apache Corp., 6.25%",
70,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive quarterly notional amount multilpied by .43% and pay Bank of America upon default event of Apache Corp., par value of the notional amount of Apache Corp. 6.25%","Apache Corp.,",Bank of America,"Apache Corp., 6.25%",
71,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive annually a fixed rate of .6% multiplied by the notional amount and pay to Lehman Brothers, Inc., upon each default event of one of the issues of Dow Jones CDX N.A. Investment Grade 2, par value of the proportional notional amount",one of,"Lehman Brothers,",,
72,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive annually a fixed rate of .6% multiplied by the notional amount and pay to Lehman Brothers, Inc., upon each default event of one of the issues of Dow Jones CDX N.A. Investment Grade 2, par value of the proportional notional amount",one of,"Lehman Brothers,",,
73,93,751199,FIDELITY INCOME FUND /MA/,2004-09-28,edgar/data/751199/0000751199-04-000012.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/751199/0000751199-04-000012.txt,"Receive annually a fixed rate of .6% multiplied by the notional amount and pay to Lehman Brothers, Inc., upon each default event of one of the issues of Dow Jones CDX N.A. Investment Grade 2, par value of the proportional notional amount",one of,"Lehman Brothers,",,
74,96,81205,FIDELITY PURITAN TRUST,2004-09-28,edgar/data/81205/0000081205-04-000022.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/81205/0000081205-04-000022.txt,"Receive from Morgan Stanley, Inc., upon default event of Motorola, Inc., par value of the notional amount of Motorola, Inc. 7.625% 11/15/10, and pay quarterly notional amount multiplied by","Motorola, Inc.,",,"Motorola, Inc., 7.625%",
75,96,81205,FIDELITY PURITAN TRUST,2004-09-28,edgar/data/81205/0000081205-04-000022.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/81205/0000081205-04-000022.txt,"Receive quarterly notional amount multiplied by .35% and pay Goldman Sachs upon default event of Devon Energy Corp., par value of the notional amount of Devon Energy Corp. 7.95%",Devon Energy,Goldman Sachs,Devon Energy 7.95%,
76,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-08-23,edgar/data/831016/0000356494-04-000040.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000356494-04-000040.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana","EnCana Corp.,","Merrill Lynch,",,
77,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-08-23,edgar/data/831016/0000356494-04-000040.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000356494-04-000040.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
78,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-08-23,edgar/data/831016/0000356494-04-000040.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000356494-04-000040.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
79,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000831016-04-000013.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-04-000013.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana","EnCana Corp.,","Merrill Lynch,",,
80,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000831016-04-000013.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-04-000013.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
81,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000831016-04-000013.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-04-000013.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
82,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000831016-04-000013.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-04-000013.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
83,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000927384-04-000027.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000927384-04-000027.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana","EnCana Corp.,","Merrill Lynch,",,
84,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000927384-04-000027.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000927384-04-000027.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
85,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000927384-04-000027.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000927384-04-000027.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
86,102,831016,VARIABLE INSURANCE PRODUCTS FUND II,2004-09-01,edgar/data/831016/0000927384-04-000027.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000927384-04-000027.txt,"Receive quarterly notional amount multiplied by .38% and pay Merrill Lynch, Inc. upon default event of EnCana Corp., par value of the notional amount of EnCana Corp. 4.75%","EnCana Corp.,","Merrill Lynch,","EnCana Corp., 4.75%",
